7, 8
1, 1, 1
1, 2, 117
1, 3, 15
1, 4, 11
1, 5, 20
1, 6, 13
1, 7, 15
1, 8, 14
2, 1, 117
2, 2, 972
2, 3, 117
2, 4, 14
2, 5, 19
2, 6, 20
2, 7, 11
2, 8, 11
3, 1, 13
3, 2, 117
3, 3, 972
3, 4, 117
3, 5, 18
3, 6, 19
3, 7, 11
3, 8, 20
4, 1, 17
4, 2, 19
4, 3, 117
4, 4, 972
4, 5, 117
4, 6, 15
4, 7, 16
4, 8, 16
5, 1, 12
5, 2, 12
5, 3, 14
5, 4, 117
5, 5, 972
5, 6, 117
5, 7, 12
5, 8, 10
6, 1, 10
6, 2, 12
6, 3, 14
6, 4, 14
6, 5, 117
6, 6, 972
6, 7, 117
6, 8, 20
7, 1, 11
7, 2, 17
7, 3, 13
7, 4, 11
7, 5, 18
7, 6, 117
7, 7, 18
7, 8, 16
